trackingUrn,repostedJob,title,$recipeTypes,posterId,$type,contentSource,entityUrn
urn:li:jobPosting:4085341336,true,Back End Engineer (Python & Go) - Europe Only,[com.linkedin.deco.recipe.anonymous.Anon1578943416],266197637,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4085341336
urn:li:jobPosting:4110836615,false,AI & Data Science Training & Intership,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110836615
urn:li:jobPosting:4089479542,true,Customer Service Representative with English and French - Sofia,[com.linkedin.deco.recipe.anonymous.Anon1578943416],5101843,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4089479542
urn:li:jobPosting:4110240788,false,Vulnerability Researcher (iOS and Android),[com.linkedin.deco.recipe.anonymous.Anon1578943416],55634424,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110240788
urn:li:jobPosting:3810378802,true,Customer Service Representative with English and German - Sofia,[com.linkedin.deco.recipe.anonymous.Anon1578943416],5101843,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:3810378802
urn:li:jobPosting:4111201577,false,Prompt Engineering Training and Internship Program,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4111201577
urn:li:jobPosting:4110062061,false,Експерт Администриране на персонала,[com.linkedin.deco.recipe.anonymous.Anon1578943416],332862154,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110062061
urn:li:jobPosting:4081026600,true,Principal Backend Engineer (Node/TypeScript),[com.linkedin.deco.recipe.anonymous.Anon1578943416],561143364,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4081026600
urn:li:jobPosting:4110878116,false,Full Stack Development Training and Internship Program,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110878116
urn:li:jobPosting:4110889115,false,AI & Data Scientist Internship,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110889115
urn:li:jobPosting:4065159619,true,Regional Growth Manager(CIS/Taiwan),[com.linkedin.deco.recipe.anonymous.Anon1578943416],780648515,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4065159619
urn:li:jobPosting:4110871173,false,Data Science & AI Training & Internship,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110871173
urn:li:jobPosting:4109623983,false,Senior Machine Learning Engineer - Enterprise AI Innovation,[com.linkedin.deco.recipe.anonymous.Anon1578943416],8350242,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM,urn:li:fsd_jobPosting:4109623983
urn:li:jobPosting:4029654828,true,Senior PHP/Node.js Engineer (Boosters) ,[com.linkedin.deco.recipe.anonymous.Anon1578943416],692887630,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4029654828
urn:li:jobPosting:4110433554,false,AI Developer Training and Internship Program,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110433554
urn:li:jobPosting:4110061084,false,Senior Full-Stack Software Engineer (.NET + Angular),[com.linkedin.deco.recipe.anonymous.Anon1578943416],747235202,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM,urn:li:fsd_jobPosting:4110061084
urn:li:jobPosting:4110062783,false,Senior Frontend Developer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],733961263,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110062783
urn:li:jobPosting:4110046744,false,Lead Data Engineer (Sofia Bulgaria),[com.linkedin.deco.recipe.anonymous.Anon1578943416],375599025,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM,urn:li:fsd_jobPosting:4110046744
urn:li:jobPosting:4110181921,false,Junior Business Developer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],197571102,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110181921
urn:li:jobPosting:4110051994,false,Senior Product Owner,[com.linkedin.deco.recipe.anonymous.Anon1578943416],402860233,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110051994
urn:li:jobPosting:4110427812,false,DevOps Engineering Training and Internship Program,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110427812
urn:li:jobPosting:4110440459,false,Software Engineering Mastery Training and Internship Program,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110440459
urn:li:jobPosting:4110540787,false,Technical Product Manager - AI Team,[com.linkedin.deco.recipe.anonymous.Anon1578943416],623742232,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110540787
urn:li:jobPosting:4102605135,true,Partner Manager Growth,[com.linkedin.deco.recipe.anonymous.Anon1578943416],214755253,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4102605135
urn:li:jobPosting:4110501383,false,Senior Operations Manager - Training (18 months contract),[com.linkedin.deco.recipe.anonymous.Anon1578943416],318529402,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110501383
urn:li:jobPosting:4110055379,false,Deskside Support Technician,[com.linkedin.deco.recipe.anonymous.Anon1578943416],768710880,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110055379
urn:li:jobPosting:4110054283,false,Hardware Design Engineer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],null,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_CREATE,urn:li:fsd_jobPosting:4110054283
urn:li:jobPosting:4110049267,false,Expert,[com.linkedin.deco.recipe.anonymous.Anon1578943416],109082427,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM,urn:li:fsd_jobPosting:4110049267
urn:li:jobPosting:4110530929,false,Software Engineer for Training AI Data - Python European Languages,[com.linkedin.deco.recipe.anonymous.Anon1578943416],12556957,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110530929
urn:li:jobPosting:4110876461,false,Diversity and Inclusion Specialist (Cat. II),[com.linkedin.deco.recipe.anonymous.Anon1578943416],1322739583,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110876461
urn:li:jobPosting:4110886382,false,Senior Growth Product Manager | Hint,[com.linkedin.deco.recipe.anonymous.Anon1578943416],null,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_CREATE,urn:li:fsd_jobPosting:4110886382
urn:li:jobPosting:4110454764,false,DWH Developer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],null,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_CREATE,urn:li:fsd_jobPosting:4110454764
